Company Name,Station Name,Fuel,Installed Capacity(MW),StartYear,Location,Bus
E.On UK,Sandbach,CCGT,56,1999,North West,13
E.On UK,Castleford,CCGT,56,2002,Yorkshire and the Humber,14
E.On UK,Thornhill,CCGT,50,1998,Yorkshire and the Humber,17
E.On UK,Steven's Croft,Biomass,44,2007,Scotland,9
E.On UK,Askam,Wind Onshore,5,1999,North West,11
E.On UK,Blood Hill,Wind Onshore,2,1992,East,20
E.On UK,Bowbeat,Wind Onshore,31,2002,Scotland,7
E.On UK,Deucheran Hill,Wind Onshore,16,2001,Scotland,7
E.On UK,Hare Hill,Wind Onshore,5,2004,North East,6
E.On UK,High Volts,Wind Onshore,8,2004,North East,10
E.On UK,Holmside,Wind Onshore,5,2004,North East,10
E.On UK,Lowca,Wind Onshore,5,2000,North West,9
E.On UK,Oldside,Wind Onshore,5,1996,North West,9
E.On UK,Out Newton,Wind Onshore,9,2002,Yorkshire and the Humber,16
E.On UK,Rheidol,Wind Onshore,2,1997,Wales,23
E.On UK,Scroby Sands,Wind Offshore,60,2004,East,20
E.On UK,Siddick,Wind Onshore,4,1996,North West,9
E.On UK,St Breock,Wind Onshore,5,1994,South West,29
E.On UK,Stags Holt,Wind Onshore,18,2007,East,19
E.On UK,Rhyd-y-Groes,Wind Onshore,7,1992,Wales,18
E.On UK,Blyth Offshore,Wind Offshore,4,2000,North East,8
E.On UK,Robin Rigg,Wind Offshore,180,2010,North West,9
E.On UK,Great Eppleton,Wind Onshore,8,2010,North East,10
